Pendiente (grados) ,Inicio de la costa (m) ,Posicion final de la costa,Maxima profundidad,Minima profundidad 
63.68407454783873,60.433865910892166,79.7979797979798,90,10
60.47544497277947,60.35629344945376,70.70707070707071,90,20
74.49089413594706,75.02538683450136,56.56565656565657,95,5
68.09497309606813,63.81105936064442,72.72727272727273,95,5
71.89679327079725,72.21245196068284,67.67676767676768,95,10
77.09899893217812,79.38559335784265,83.83838383838385,100,10
71.59398749098608,73.37821768787168,46.46464646464647,100,20
68.00943199588257,69.71239396150975,71.71717171717172,85,10
